date,gbp_rate
2021-12-27,5.8612
2021-12-28,5.8747
2021-12-29,5.8857
2021-12-30,5.8951
2021-12-31,5.8994
2022-01-03,5.8856
2022-01-04,5.9153
2022-01-05,5.9198
2022-01-06,5.9135
2022-01-07,5.9208
2022-01-10,5.9286
2022-01-11,5.937
2022-01-12,5.9315
2022-01-13,5.9267
2022-01-14,5.9246
2022-01-17,5.9242
2022-01-18,5.9102
2022-01-19,5.9367
2022-01-20,5.9366
2022-01-21,5.9178
2022-01-25,5.9008
2022-01-26,5.9238
2022-01-27,5.93
2022-01-28,5.9485
2022-01-31,5.9528
2022-02-01,5.9313
2022-02-02,5.9268
2022-02-03,5.939
2022-02-04,5.8511
2022-02-07,5.8477
2022-02-08,5.8666
2022-02-09,5.8715
2022-02-10,5.8656
2022-02-11,5.8862
2022-02-14,5.9104
2022-02-15,5.9026
2022-02-16,5.8879
2022-02-17,5.9169
2022-02-18,5.924
2022-02-21,5.9321
2022-02-22,5.9118
2022-02-23,5.9234
2022-02-24,5.9418
2022-02-25,5.9214
2022-02-28,5.9187
2022-03-01,5.9301
2022-03-02,5.9383
2022-03-03,5.974
2022-03-04,5.9873
2022-03-07,6.0112
2022-03-08,5.9701
2022-03-09,5.9369
2022-03-10,5.9016
2022-03-11,5.8968
2022-03-14,5.8843
2022-03-15,5.8651
2022-03-16,5.876
2022-03-17,5.904
2022-03-18,5.8864
2022-03-21,5.8828
2022-03-22,5.9355
2022-03-23,5.9435
2022-03-24,5.9419
2022-03-25,5.9268
2022-03-28,5.9183
2022-03-29,5.8661
2022-03-30,5.833
2022-03-31,5.8374
2022-04-01,5.8762
2022-04-04,5.885
2022-04-05,5.9149
2022-04-06,5.9339
2022-04-07,5.9371
2022-04-08,5.9298
2022-04-11,5.9017
2022-04-12,5.9126
2022-04-13,5.9334
2022-04-14,5.952
2022-04-15,5.9719
2022-04-18,5.9584
2022-04-19,5.9615
2022-04-20,5.9302
2022-04-21,5.9197
2022-04-26,5.8863
2022-04-27,5.8688
2022-04-28,5.8871
2022-04-29,5.8793
2022-05-02,5.9101
2022-05-03,5.8976
2022-05-04,5.8789
2022-05-05,5.8671
2022-05-06,5.7768
2022-05-09,5.7831
2022-05-10,5.7757
2022-05-11,5.7968
2022-05-12,5.779
2022-05-13,5.8036
2022-05-16,5.8072
2022-05-17,5.881
2022-05-18,5.8347
2022-05-19,5.8404
2022-05-20,5.8325
2022-05-23,5.8254
2022-05-24,5.7676
2022-05-25,5.7906
2022-05-26,5.8196
2022-05-27,5.8083
2022-05-30,5.8074
2022-05-31,5.8057
2022-06-02,5.7991
2022-06-03,5.7813
2022-06-06,5.778
2022-06-07,5.7856
2022-06-08,5.7918
2022-06-09,5.777
2022-06-10,5.8114
2022-06-14,5.7384
2022-06-15,5.7005
2022-06-16,5.7606
2022-06-17,5.7805
2022-06-20,5.7481
2022-06-21,5.7576
2022-06-22,5.7556
2022-06-23,5.7466
2022-06-24,5.7699
2022-06-27,5.7464
2022-06-28,5.7258
2022-06-29,5.7237
2022-06-30,5.7525
2022-07-01,5.7088
2022-07-04,5.7408
2022-07-05,5.7845
2022-07-06,5.7743
2022-07-07,5.8116
2022-07-08,5.8356
2022-07-11,5.8435
2022-07-12,5.8385
2022-07-13,5.8561
2022-07-14,5.8417
2022-07-15,5.8216
2022-07-18,5.8264
2022-07-19,5.7952
2022-07-20,5.7956
2022-07-21,5.795
2022-07-22,5.8059
2022-07-25,5.8025
2022-07-26,5.8204
2022-07-27,5.8714
2022-07-28,5.8915
2022-07-29,5.8793
2022-08-01,5.8843
2022-08-02,5.8778
2022-08-03,5.8843
2022-08-04,5.8832
2022-08-05,5.8439
2022-08-08,5.8375
2022-08-09,5.8089
2022-08-10,5.8083
2022-08-11,5.8036
2022-08-12,5.7696
2022-08-16,5.7936
2022-08-17,5.8119
2022-08-18,5.7839
2022-08-19,5.7514
2022-08-22,5.7623
2022-08-23,5.7956
2022-08-24,5.7934
2022-08-25,5.7737
2022-08-26,5.7646
2022-08-29,5.7141
2022-08-30,5.6896
2022-08-31,5.6662
2022-09-01,5.6121
2022-09-02,5.5947
2022-09-05,5.5911
2022-09-06,5.6243
2022-09-07,5.6295
2022-09-08,5.5972
2022-09-09,5.6378
2022-09-12,5.6386
2022-09-13,5.6691
2022-09-14,5.6857
2022-09-15,5.6737
2022-09-16,5.6206
2022-09-19,5.6085
2022-09-20,5.6261
2022-09-21,5.6466
2022-09-22,5.662
2022-09-23,5.6284
2022-09-26,5.4791
2022-09-27,5.5513
2022-09-28,5.537
2022-09-29,5.5502
2022-09-30,5.6367
2022-10-03,5.6665
2022-10-04,5.6906
2022-10-05,5.6702
2022-10-06,5.6319
2022-10-07,5.6488
2022-10-10,5.6323
2022-10-11,5.6185
2022-10-12,5.6309
2022-10-13,5.6592
2022-10-14,5.7138
2022-10-17,5.7057
2022-10-18,5.6628
2022-10-19,5.6619
2022-10-20,5.64
2022-10-21,5.6081
2022-10-24,5.6661
2022-10-25,5.622
2022-10-26,5.6349
2022-10-27,5.6315
2022-10-28,5.6901
2022-10-31,5.7084
2022-11-01,5.7099
2022-11-02,5.7125
2022-11-03,5.6649
2022-11-04,5.5999
2022-11-07,5.6006
2022-11-08,5.6124
2022-11-09,5.5874
2022-11-10,5.5952
2022-11-11,5.5885
2022-11-14,5.5928
2022-11-15,5.575
2022-11-16,5.6277
2022-11-17,5.6466
2022-11-18,5.6799
2022-11-21,5.704
2022-11-22,5.6838
2022-11-23,5.7102
2022-11-24,5.7413
2022-11-25,5.7274
2022-11-28,5.6863
2022-11-29,5.6933
2022-12-02,5.7419
2022-12-05,5.7178
2022-12-06,5.6911
2022-12-07,5.7021
2022-12-08,5.6962
2022-12-09,5.7073
2022-12-12,5.7329
2022-12-13,5.7496
2022-12-14,5.7268
2022-12-15,5.716
2022-12-16,5.6327
2022-12-19,5.6544
2022-12-20,5.6199
2022-12-21,5.5994
2022-12-22,5.5635
2022-12-23,5.573
2022-12-27,5.5747
2022-12-28,5.6065
2022-12-29,5.5954
2022-12-30,5.5878
2023-01-03,5.572
2023-01-04,5.602
2023-01-05,5.5809
2023-01-06,5.561
2023-01-09,5.5943
2023-01-10,5.582
2023-01-11,5.57
2023-01-12,5.5861
2023-01-13,5.5749
2023-01-16,5.5737
2023-01-17,5.5665
2023-01-18,5.6114
2023-01-19,5.6181
2023-01-20,5.6182
2023-01-23,5.5862
2023-01-25,5.5473
2023-01-26,5.552
2023-01-27,5.5612
2023-01-30,5.5798
2023-01-31,5.6028
2023-02-01,5.5638
2023-02-02,5.4966
2023-02-03,5.4945
2023-02-06,5.4789
2023-02-07,5.4884
2023-02-08,5.5088
2023-02-09,5.5142
2023-02-10,5.5474
2023-02-13,5.5284
2023-02-14,5.5563
2023-02-15,5.5197
2023-02-16,5.5182
2023-02-17,5.5045
2023-02-20,5.5376
2023-02-21,5.5835
2023-02-22,5.5957
2023-02-23,5.5768
2023-02-24,5.5786
2023-02-27,5.5787
2023-02-28,5.6088
2023-03-01,5.5619
